,Score
16125,Unknown
7298,Unknown
10092,5.16
13135,5.46
6255,7.35
5766,Unknown
9537,Unknown
6612,7.03
7284,5.96
7136,7.51
15774,Unknown
6201,8.38
9904,3.38
6225,5.33
14301,6.45
7300,6.9
5134,5.88
15685,8.08
16579,6.95
7983,Unknown
8950,7.05
9321,Unknown
14778,7.33
12480,7.08
2036,6.8
3065,6.7
8454,6.62
8981,6.17
10814,6.98
16114,Unknown
1041,7.19
11915,6.83
6872,6.04
9143,6.47
1413,7.59
114,8.11
17326,Unknown
4250,6.68
230,7.83
4404,Unknown
10842,8.02
13128,Unknown
2746,6.36
6818,7.29
11270,7.44
16603,6.03
15912,5.49
7507,7.26
9970,4.58
2703,7.57
3680,5.36
7252,6.77
4514,6.33
16245,8.74
13942,7.61
10256,4.08
6920,6.08
16297,8.4
13713,6.07
14988,Unknown
9293,6.97
12612,4.71
16184,6.12
13260,6.23
9414,5.78
15536,Unknown
6956,7.27
12108,Unknown
6383,5.47
12597,Unknown
14679,Unknown
10761,Unknown
8559,8.72
3822,6.51
3795,7.64
11979,7.09
6857,Unknown
7495,6.35
16675,Unknown
8741,Unknown
2055,6.06
5044,5.74
5813,6.26
3838,5.22
8715,Unknown
7092,5.81
14496,Unknown
11062,7.08
13147,6.61
15551,6.28
5714,6.41
13532,6.04
11974,5.39
11925,7.16
11693,7.23
14011,7.24
7576,6.24
2984,6.77
12886,Unknown
14763,6.13
2815,5.77
2046,6.3
10928,6.57
15714,Unknown
4923,6.08
4826,5.23
15944,7.48
17077,5.63
2347,6.46
10140,6.32
15283,6.1
15856,Unknown
7802,Unknown
16933,Unknown
1414,6.07
499,7.85
668,6.79
3033,6.6
9222,5.3
14227,Unknown
12171,Unknown
16891,Unknown
5556,4.99
14352,7.04
3774,7.17
303,7.42
11643,5.35
1703,6.31
3834,5.2
10495,7.94
8288,6.79
7019,7.05
1618,6.25
6822,Unknown
16550,Unknown
2924,6.19
3206,8.08
14609,7.52
4274,8.09
8810,Unknown
5400,Unknown
5196,Unknown
10236,Unknown
16832,Unknown
13063,Unknown
7615,5.81
1950,6.7
6185,7.04
2736,7.59
12385,Unknown
1068,7.83
3660,7.82
16332,7.27
11843,8.09
2470,6.2
14635,6.48
17162,Unknown
4746,5.77
4649,7.48
11975,Unknown
16331,Unknown
4194,5.51
2766,7.17
11721,4.7
3038,6.37
6946,5.65
17218,Unknown
582,5.65
10501,Unknown
16266,Unknown
11216,6.42
5032,5.36
11812,7.82
347,7.64
2947,7.08
17427,Unknown
14038,8.31
11923,Unknown
15899,6.52
12077,6.08
5143,6.28
14673,Unknown
4952,5.9
12359,5.17
1477,5.16
4252,5.32
180,6.75
6156,5.51
13115,Unknown
10955,5.95
14928,Unknown
12377,6.82
255,7.15
16430,7.08
13867,6.91
5990,Unknown
8455,Unknown
4513,7.02
8668,7.29
2631,6.17
107,6.79
3717,5.15
4463,7.8
8827,7.05
416,7.68
13152,Unknown
8875,Unknown
8057,Unknown
11401,6.08
12653,Unknown
2265,6.96
7168,8.06
5079,6.71
17271,Unknown
7070,6.29
4606,6.42
13096,Unknown
12375,Unknown
15218,Unknown
9473,Unknown
16775,6.05
2621,6.14
2030,6.74
8129,Unknown
39,7.05
7363,6.11
10034,Unknown
10882,Unknown
3508,Unknown
13829,Unknown
5761,Unknown
15266,Unknown
2980,6.13
3437,6.77
8019,6.38
13719,Unknown
10596,5.37
6385,7.35
3544,6.62
8015,4.85
2867,6.62
4442,6.61
9796,5.89
15466,6.27
12268,Unknown
13257,7.65
7245,6.23
16632,6.4
1878,5.48
5371,8.1
7511,Unknown
8538,6.67
9003,Unknown
15195,Unknown
9925,6.27
16050,Unknown
16614,6.81
2729,5.22
14332,Unknown
6649,7.36
13252,8.59
7879,7.83
8753,Unknown
12196,7.31
3076,6.97
5678,7.25
12753,6.02
13273,7.72
9606,5.48
5297,6.58
2727,6.03
14452,Unknown
3836,6.35
36,6.53
12282,6.66
4187,5.04
675,5.89
16450,7.55
1555,5.89
8190,5.44
3979,6.71
6087,7.2
3708,7.14
8466,6.11
7388,Unknown
10903,5.14
6339,7.6
5384,7.41
14922,5.31
3820,6.69
12895,Unknown
17287,Unknown
7508,6.03
16575,Unknown
1746,7.65
6624,7.07
14442,6.56
8223,Unknown
9248,Unknown
1052,6.07
4038,6.49
3405,6.73
3705,Unknown
17100,Unknown
3955,6.43
16346,Unknown
3375,6.52
3428,6.77
12346,7.29
2507,6.82
15448,5.95
4681,5.55
15337,5.16
210,6.69
16508,Unknown
8248,6.07
4747,6.58
11919,5.35
13110,Unknown
9595,Unknown
1670,5.75
2320,6.34
3495,5.69
10424,Unknown
16404,6.31
13973,Unknown
13717,Unknown
13434,Unknown
12754,Unknown
12023,6.22
17034,Unknown
14692,5.8
484,7.75
16788,5.58
16090,6.34
9982,Unknown
5437,6.15
16320,Unknown
12311,Unknown
8914,7.01
2640,6.32
1250,7.22
8889,7.02
9937,Unknown
5117,6.89
17327,8.58
15044,6.52
6347,6.13
9946,5.34
4861,6.07
2303,7.26
2652,5.23
12305,6.93
12546,6.34
4244,7.83
718,7.92
15076,Unknown
13080,Unknown
14789,6.25
12216,7.07
15863,Unknown
15189,Unknown
8093,5.91
738,6.44
10529,7.6
14261,7.74
16383,6.84
5828,Unknown
10075,5.95
1973,6.21
8126,7.06
17300,Unknown
5436,6.09
9100,6.96
8422,Unknown
2770,5.52
12341,5.72
2329,7.16
16338,Unknown
10591,6.55
7073,6.22
1275,5.96
17151,Unknown
9069,6.21
14602,6.43
4819,6.1
7784,6.11
10712,6.11
5910,6.4
2264,5.87
318,7.0
1536,7.66
6884,6.51
16771,Unknown
15160,Unknown
1369,6.21
740,6.32
6887,7.25
10027,Unknown
1188,7.57
2065,6.65
9622,8.07
14328,Unknown
7301,7.26
2527,7.11
15319,6.06
3487,5.97
15595,6.42
8031,7.37
16627,Unknown
8877,7.77
14734,Unknown
8037,5.44
16229,5.66
12983,Unknown
13690,6.47
5885,Unknown
16243,6.97
14026,Unknown
7590,6.68
14091,8.19
9304,6.11
3488,6.07
1291,7.17
4919,6.3
14738,Unknown
16818,Unknown
9812,Unknown
17217,Unknown
6271,Unknown
14817,Unknown
9938,4.43
7346,7.17
9929,7.2
9055,6.76
13024,4.92
562,6.48
13624,Unknown
9048,Unknown
11991,7.41
5765,6.11
9747,5.22
3702,6.18
16634,6.02
2407,6.08
4377,7.15
3611,5.65
10480,4.7
6808,6.15
6292,6.82
11549,Unknown
2910,5.91
12520,5.68
5734,Unknown
11321,6.22
5712,5.88
3166,5.25
10835,6.13
7881,6.31
13233,Unknown
6955,7.48
6759,Unknown
7283,6.19
2218,6.13
13741,5.63
1955,6.87
16817,6.04
7646,6.07
13670,6.53
11487,5.04
4786,6.59
1399,6.69
9418,5.42
12591,6.75
13356,5.33
13274,5.91
3068,6.45
11859,6.24
2234,5.71
7757,Unknown
11232,7.9
11570,5.63
5306,6.51
13861,6.16
4549,6.04
9844,8.2
14874,Unknown
14446,7.26
13488,7.73
12133,Unknown
9308,5.48
3817,8.04
5996,Unknown
15146,Unknown
5327,6.5
1434,6.88
17549,Unknown
12837,5.86
14389,Unknown
8582,Unknown
341,6.54
12881,Unknown
17486,Unknown
8233,Unknown
10049,6.04
12340,Unknown
5473,Unknown
3378,7.31
7306,6.98
5180,5.73
2777,6.82
10021,5.55
428,8.69
16039,6.62
9875,5.76
15404,Unknown
6932,7.52
4692,6.0
17314,Unknown
3478,7.09
4504,6.92
6746,7.85
11764,Unknown
15784,Unknown
9553,6.73
65,6.66
14065,Unknown
10779,Unknown
12386,Unknown
16173,6.86
6630,5.44
5045,6.34
12410,7.38
11497,Unknown
2865,5.84
5364,6.78
7726,6.51
10219,Unknown
6662,8.39
5113,8.23
13061,3.8
8142,7.69
15566,Unknown
1691,5.13
11621,6.11
10741,5.24
1421,7.2
17108,6.21
9872,5.8
16967,Unknown
819,5.9
15332,Unknown
7932,5.71
10447,5.8
1843,6.09
14160,Unknown
13487,Unknown
15806,6.28
1285,7.17
7721,6.38
4303,7.28
16668,7.18
1941,6.86
16572,6.48
1091,7.21
7667,Unknown
73,7.22
3397,6.0
10809,6.52
8898,Unknown
4192,5.45
17231,Unknown
15200,Unknown
9845,7.65
9357,Unknown
5064,6.44
4387,Unknown
17170,6.45
14009,Unknown
12832,Unknown
6863,6.45
14420,7.95
13431,6.23
782,7.21
15925,Unknown
11355,Unknown
3963,7.16
3937,6.77
10843,6.03
12407,Unknown
7592,7.39
1110,6.73
4414,6.65
14544,Unknown
10257,5.28
16757,Unknown
6939,7.17
1825,8.01
3146,6.09
8147,5.1
15178,Unknown
14706,8.04
144,7.48
14335,Unknown
10041,Unknown
3514,Unknown
15401,7.22
6876,Unknown
15207,Unknown
13277,Unknown
14658,7.46
13359,Unknown
16432,7.56
1830,6.56
11295,5.87
4181,4.89
6193,6.41
1219,6.02
8029,5.76
5957,Unknown
6148,7.37
10868,6.63
9129,6.71
10873,Unknown
17027,5.72
12066,5.81
1055,6.34
6504,6.92
594,6.93
13293,8.45
16262,Unknown
14704,6.29
12114,Unknown
5824,6.46
14359,5.77
4702,6.77
13214,Unknown
7770,6.26
17447,Unknown
15537,Unknown
15723,Unknown
13483,6.5
16814,Unknown
12488,6.27
17010,Unknown
5382,5.95
11464,Unknown
7806,6.89
15634,Unknown
4974,6.64
81,7.48
6224,6.22
532,7.53
958,5.02
472,7.27
8812,Unknown
2290,7.68
13345,7.18
13021,Unknown
14125,Unknown
16940,Unknown
2899,6.43
3954,8.36
4403,Unknown
11448,5.57
6223,7.38
12965,Unknown
17031,Unknown
7821,8.28
8581,5.91
5353,6.66
15705,6.5
7502,8.08
12711,6.04
13653,7.07
16842,6.48
13215,Unknown
7840,5.51
14002,Unknown
11427,6.42
13641,Unknown
16736,6.65
15620,6.86
3724,Unknown
1264,7.5
4867,4.41
4600,6.17
15321,7.68
15033,Unknown
5100,Unknown
4371,6.12
8364,6.36
7558,7.87
4374,5.58
1272,6.48
4087,6.93
16455,5.02
11215,7.03
5770,Unknown
1897,7.06
15029,Unknown
9432,5.85
17417,Unknown
14088,Unknown
1458,7.07
9625,Unknown
11917,7.34
8086,Unknown
3761,7.04
3585,6.31
715,5.73
13289,8.53
16103,Unknown
1118,5.96
14197,6.5
1287,7.62
5557,Unknown
6486,6.19
6634,5.87
2316,5.54
1417,6.18
15736,Unknown
6879,5.93
15977,Unknown
14622,6.74
994,7.29
14168,6.3
4292,6.3
17435,Unknown
2636,6.8
13385,Unknown
296,6.56
1864,7.13
11243,Unknown
7920,Unknown
7628,6.28
1145,7.23
6621,6.3
13765,5.46
14117,7.1
16606,6.86
4829,7.04
14903,6.84
9888,6.83
12548,Unknown
12429,6.1
7562,5.68
17277,Unknown
12005,6.43
7836,4.96
1835,6.11
16751,Unknown
6840,5.63
13983,6.8
10641,7.89
15068,6.51
16212,Unknown
5852,6.36
10683,5.75
17540,Unknown
10870,6.96
477,5.89
16171,Unknown
10953,4.92
4190,5.09
16798,6.86
6790,6.44
15369,Unknown
15067,Unknown
642,7.15
7463,Unknown
4462,8.52
13929,8.48
12628,6.69
14392,6.91
1793,7.16
1692,6.22
7681,Unknown
5430,7.46
9629,6.31
493,7.17
10690,6.21
4253,5.31
11192,5.84
1463,7.49
8201,Unknown
11376,5.8
6973,5.65
8998,6.51
11980,Unknown
13016,Unknown
2287,6.53
16629,7.96
17058,Unknown
7793,Unknown
965,6.47
444,6.66
14487,6.82
9838,Unknown
438,8.45
6608,7.5
14449,Unknown
12460,4.69
13939,Unknown
6969,7.22
7034,6.53
5261,5.8
467,6.17
12964,Unknown
3751,6.33
11465,7.59
756,7.24
7386,6.39
2688,6.24
5186,4.43
9371,6.43
7188,6.3
3958,6.26
915,7.38
10144,Unknown
4511,6.11
1374,5.76
7580,6.69
12025,5.57
17020,Unknown
9336,Unknown
7831,7.38
13601,Unknown
13223,6.18
537,8.4
14580,6.21
7250,6.61
5215,7.02
11937,6.82
13413,4.97
15042,5.88
16724,7.93
11468,7.02
11568,Unknown
2186,5.51
12176,Unknown
17280,Unknown
9628,6.65
10612,4.59
1432,7.13
15019,Unknown
11305,6.34
7858,Unknown
6270,6.18
332,7.34
3030,6.43
2102,6.59
11417,5.44
16052,Unknown
3891,6.81
11513,5.25
9551,Unknown
1995,6.12
2952,7.0
10215,Unknown
16477,6.14
5403,6.05
9731,5.84
5292,Unknown
13894,6.21
16978,Unknown
7021,7.67
4925,5.99
9016,Unknown
6244,Unknown
15467,Unknown
12745,6.14
2447,6.94
14811,Unknown
7540,4.49
10547,Unknown
14488,5.81
1115,5.81
10367,6.39
7665,Unknown
15066,Unknown
15933,Unknown
5145,7.05
6826,Unknown
11266,Unknown
4339,6.61
14044,6.34
15751,6.85
13157,6.1
14515,5.2
5070,6.66
5825,6.53
8607,5.85
6569,Unknown
15519,5.82
12842,Unknown
6355,Unknown
7897,4.97
16100,Unknown
134,7.43
9932,6.94
11782,Unknown
17505,7.52
799,6.88
15032,Unknown
427,6.94
14049,Unknown
8030,7.52
4687,5.57
8193,Unknown
8913,7.16
2538,7.3
5992,Unknown
1255,5.63
6442,8.36
15662,7.78
9233,5.17
4801,7.06
2724,7.34
8687,Unknown
15861,Unknown
3131,5.29
1926,6.6
13491,Unknown
3037,6.14
11770,6.4
14324,Unknown
11197,7.51
9185,6.25
13191,7.73
14977,6.78
10069,6.9
7894,Unknown
6418,Unknown
7273,5.33
3746,6.25
17153,Unknown
5369,7.21
5922,Unknown
16742,Unknown
11987,7.16
15344,Unknown
12727,7.07
16006,Unknown
3157,7.2
6018,5.88
4096,8.36
8421,Unknown
8759,7.04
6595,6.8
13872,5.75
15513,Unknown
3503,8.17
16366,5.84
11522,Unknown
12887,Unknown
11020,6.46
6699,5.79
2314,5.82
17319,6.46
11661,4.34
14123,Unknown
2018,6.79
7110,7.55
13255,6.76
8225,Unknown
7254,5.15
7883,5.35
13502,6.14
8978,Unknown
5226,6.69
12408,Unknown
4540,6.27
6648,6.19
11004,7.12
6011,5.87
10705,7.79
14149,Unknown
4126,5.7
3639,7.29
10755,Unknown
8247,6.29
15548,Unknown
7017,5.91
4080,6.65
7442,7.13
3448,6.93
4962,5.84
16070,Unknown
43,6.77
17,7.32
797,6.82
5467,4.66
1883,6.29
14105,6.39
12560,Unknown
2372,7.29
15825,Unknown
8689,Unknown
9948,6.31
8612,3.32
6167,6.55
4094,6.6
14556,Unknown
480,8.31
12717,Unknown
12516,8.07
13799,6.49
11400,7.82
17445,Unknown
1331,6.82
3930,7.32
14845,6.28
3305,6.43
4355,5.65
13030,5.15
443,6.6
11571,5.39
6669,7.81
14313,8.71
14465,5.38
1420,7.09
5205,5.88
15045,6.23
16637,5.29
9162,Unknown
16123,5.81
1063,6.0
430,7.1
16739,Unknown
8423,Unknown
2328,5.45
227,7.7
16570,5.29
577,6.34
4233,5.04
14150,6.2
684,6.05
5220,7.13
8354,5.39
3785,6.59
6922,7.78
5794,Unknown
761,7.16
3588,6.62
7330,7.06
796,6.0
6778,5.24
10511,5.07
7020,7.51
9482,6.22
11926,7.43
15811,6.04
15521,6.01
16301,5.72
6037,Unknown
6431,6.43
433,7.59
528,6.68
2758,5.19
5688,5.22
13805,7.59
11682,6.0
1654,7.78
1292,6.73
6945,6.8
14326,5.78
591,7.07
10752,5.5
13164,Unknown
5137,6.18
2392,6.57
2221,7.48
15819,7.29
14027,Unknown
11928,7.08
8814,Unknown
1278,6.58
6867,6.37
12854,Unknown
10063,Unknown
15288,5.83
17469,6.05
6877,6.42
5697,Unknown
15375,Unknown
13571,Unknown
13663,6.87
11099,Unknown
13935,7.7
2847,6.25
10654,Unknown
10834,Unknown
5081,6.16
12915,7.84
17535,Unknown
9144,7.17
16972,Unknown
23,8.49
7040,6.72
14184,6.58
4635,4.49
11322,Unknown
14256,6.13
3540,7.35
16141,Unknown
7113,6.32
2383,7.27
5977,6.5
1160,6.38
15424,6.98
5955,6.7
15186,Unknown
9512,Unknown
10328,5.23
10498,8.09
11057,6.03
9416,5.38
14953,Unknown
9945,Unknown
1573,6.37
17351,6.75
16337,Unknown
13028,5.17
12586,5.03
9854,6.3
5376,6.83
15765,5.37
16335,Unknown
1329,6.64
16365,Unknown
11287,7.21
3772,5.83
5484,7.52
6081,Unknown
17468,Unknown
16222,Unknown
3350,5.28
15975,7.66
1886,6.01
623,5.81
9438,Unknown
1339,7.44
17464,Unknown
5837,5.92
6609,6.67
9545,Unknown
3080,5.63
14133,6.54
3794,6.5
1501,7.07
4995,6.06
13469,Unknown
8821,Unknown
2386,5.82
17283,6.64
11735,6.65
10768,Unknown
6247,6.48
14653,6.61
9426,6.03
5709,7.29
2532,Unknown
516,7.45
672,7.08
15564,Unknown
10224,4.4
15496,5.35
10087,5.14
13692,7.04
10282,6.27
8748,Unknown
4722,6.51
12626,6.55
6112,Unknown
4238,5.71
6435,6.98
9621,6.98
17062,Unknown
9745,Unknown
9804,Unknown
11170,6.33
1472,4.93
8727,Unknown
8813,Unknown
17152,Unknown
6930,5.67
849,6.6
8481,Unknown
9276,6.04
15731,6.79
15326,Unknown
14712,Unknown
2210,6.61
13739,5.43
3526,5.07
12572,Unknown
3202,6.99
10645,Unknown
982,6.76
16671,Unknown
16700,6.52
8856,5.51
14969,7.01
3424,5.68
414,7.1
3593,5.68
16977,Unknown
8237,Unknown
16669,Unknown
16732,Unknown
10373,5.81
15166,Unknown
4717,6.79
2094,6.56
1004,6.95
14407,5.87
9202,Unknown
15480,Unknown
16286,7.09
2340,7.38
265,6.59
16339,Unknown
7028,5.91
3279,7.59
12274,Unknown
8460,6.03
3333,7.32
12621,7.43
12926,6.48
9780,Unknown
3542,7.46
7149,7.42
253,7.17
11357,6.47
17478,5.68
1148,6.91
2142,6.13
6092,8.43
6403,5.5
3851,5.72
8072,6.03
1082,6.57
1671,7.11
16236,Unknown
3242,5.77
6485,Unknown
7120,7.49
15851,Unknown
1503,7.33
10107,5.79
1971,6.35
7801,Unknown
3798,5.68
4863,6.21
8137,Unknown
694,8.29
5729,Unknown
14242,Unknown
3855,5.51
5964,6.44
14980,6.2
12736,5.87
13748,Unknown
17189,6.28
11741,6.34
17532,Unknown
998,5.97
3094,5.13
10881,5.69
2114,5.09
16588,7.02
2273,5.04
7623,Unknown
9091,5.89
3244,5.91
15227,6.51
6182,5.31
3100,5.62
12870,Unknown
4817,6.9
8542,6.99
8262,Unknown
3563,Unknown
16407,7.61
17517,Unknown
13075,Unknown
4472,6.31
6176,5.73
16765,6.46
6312,6.53
17000,Unknown
1796,7.37
16099,Unknown
10992,6.29
9132,Unknown
15098,7.5
16878,8.64
10575,6.84
2635,5.72
8097,Unknown
6684,7.34
14952,Unknown
7434,7.07
3231,6.31
15322,Unknown
12559,Unknown
15367,Unknown
2484,6.19
4842,6.62
15703,6.69
11038,Unknown
4590,5.77
5967,6.19
13899,5.08
16658,5.56
5350,7.02
952,7.49
12443,Unknown
14877,6.04
5664,7.1
12455,Unknown
3409,6.15
8484,8.11
4775,5.12
1718,7.77
8163,6.77
17324,Unknown
12818,Unknown
14830,Unknown
8630,5.59
9855,6.17
13606,Unknown
6482,5.26
12034,7.06
7753,Unknown
14050,Unknown
2564,6.68
5928,5.87
6661,8.23
13750,Unknown
5632,7.75
5152,6.51
1146,6.83
10806,6.07
1937,6.9
15479,Unknown
1031,7.02
3884,7.1
14417,Unknown
13232,Unknown
16706,Unknown
7200,6.42
456,8.34
7809,7.66
3336,6.33
5397,6.05
11832,7.47
3858,6.13
10029,Unknown
96,7.32
3507,6.53
3130,5.08
2474,6.1
15823,Unknown
3931,6.65
6618,Unknown
2627,5.81
3773,6.01
10970,5.43
2239,5.72
13073,6.58
9584,Unknown
9990,Unknown
10319,Unknown
16618,5.37
3027,5.36
5747,7.18
5138,6.56
13689,Unknown
2389,6.65
16439,6.54
12019,Unknown
1592,6.26
2391,7.9
3082,6.85
7931,6.31
380,6.75
8654,6.33
15355,6.4
10405,6.14
17430,5.41
5156,8.61
8008,6.52
14751,Unknown
9097,5.53
1663,8.17
2901,5.92
4099,5.94
15242,6.28
7671,Unknown
5088,7.02
15475,Unknown
2540,6.89
13254,6.0
10782,Unknown
7691,6.7
6407,6.53
17536,Unknown
9201,Unknown
14222,Unknown
2354,6.26
2134,7.11
7035,6.46
2397,6.76
15945,5.86
14593,7.66
4184,4.67
15839,Unknown
2576,7.31
2373,6.96
12064,Unknown
14718,Unknown
12632,5.67
11644,6.26
11213,6.81
12855,Unknown
1281,7.67
8825,6.71
17380,Unknown
13105,Unknown
5640,6.24
10051,Unknown
10220,4.68
9173,Unknown
2515,6.44
13824,7.21
4262,5.76
10933,5.78
16004,Unknown
1471,5.81
415,7.32
9284,Unknown
6346,6.49
5013,6.58
5778,Unknown
8527,Unknown
3695,6.08
710,7.9
12573,Unknown
16622,6.48
3528,5.4
4503,6.79
15397,Unknown
2528,6.94
15579,Unknown
8327,Unknown
7955,Unknown
2893,8.24
13907,7.23
1495,5.87
6925,6.35
12843,7.84
6249,7.87
15772,Unknown
13524,Unknown
4091,6.25
15333,Unknown
2888,7.13
14085,Unknown
15408,Unknown
1523,6.76
10780,Unknown
8241,7.76
5206,6.76
15542,Unknown
1406,6.84
3319,6.39
17437,Unknown
13948,6.93
916,7.67
527,6.44
1811,5.69
9029,6.19
7735,5.87
11119,6.82
17272,Unknown
7145,5.78
13377,7.63
13897,6.81
13129,6.18
12986,Unknown
10608,6.79
8882,7.53
6264,6.61
16372,Unknown
11484,Unknown
13389,4.77
4227,5.25
8064,6.91
1486,6.5
8085,Unknown
6107,6.22
12376,Unknown
3012,6.0
774,7.53
8829,4.46
6455,Unknown
1631,6.89
8361,5.94
12266,5.22
13089,6.7
9075,7.27
9561,6.77
469,6.83
2750,8.12
10968,5.18
14290,Unknown
9431,5.52
5700,6.71
10545,4.25
16120,6.75
9020,Unknown
11973,6.96
14479,6.94
5740,6.64
598,6.87
4562,7.6
9964,Unknown
10337,4.96
4001,5.7
4659,7.75
1905,6.32
13459,5.95
9826,Unknown
4684,6.56
9698,4.8
11437,Unknown
14615,7.07
10203,Unknown
5683,9.11
7960,4.96
13316,4.78
15065,5.67
5080,6.29
11031,6.7
5790,Unknown
7524,Unknown
9877,6.66
16279,5.32
12759,Unknown
7134,8.43
1446,7.27
13892,7.54
7919,5.73
9876,6.71
1419,7.52
13188,6.27
9891,7.79
12644,6.33
10760,Unknown
6187,5.76
6000,7.17
11219,5.19
2837,6.51
9300,7.4
3757,6.09
3218,6.22
3573,6.76
3132,5.02
13945,6.27
3520,5.27
6594,7.32
17261,Unknown
13327,Unknown
13047,5.89
2588,6.65
15139,5.66
3338,6.91
4695,6.31
9936,6.92
13445,Unknown
13702,7.92
3353,Unknown
4308,6.07
1758,5.59
14667,6.07
17476,Unknown
6806,6.23
852,6.98
1494,5.85
14187,Unknown
11517,4.65
2464,7.38
7729,5.86
12092,Unknown
14144,Unknown
6384,6.06
4483,5.94
11430,6.88
7033,6.63
9742,8.2
16802,6.82
5219,Unknown
17185,Unknown
10691,7.52
2332,6.22
16740,Unknown
12904,6.24
4608,6.81
14745,Unknown
14630,8.43
4574,7.32
10132,Unknown
500,6.69
13077,5.68
8011,7.7
11490,7.3
1046,6.02
12204,Unknown
10838,5.86
2633,6.38
12861,5.76
14061,6.59
14694,Unknown
11598,6.34
11184,7.62
10316,5.21
7515,6.49
13905,Unknown
14709,7.95
5625,7.15
8138,5.34
9774,7.21
10974,4.38
15192,Unknown
12670,Unknown
777,6.76
8197,Unknown
6443,6.02
7197,7.31
8743,Unknown
4019,Unknown
1194,6.33
12858,Unknown
51,7.65
5652,6.9
7359,Unknown
2304,6.2
9969,5.81
10122,5.31
15417,6.0
6083,Unknown
1113,6.35
2982,7.13
656,6.73
3254,6.94
8404,Unknown
4921,5.92
5890,Unknown
1187,6.64
17504,6.59
14142,5.01
12363,Unknown
6909,7.0
6005,6.55
565,6.52
4118,5.52
5899,6.31
11482,Unknown
15569,6.79
5681,6.08
840,6.19
3888,6.31
1642,6.83
13153,6.37
16484,Unknown
11319,4.9
12223,8.27
2666,6.23
1972,7.98
17253,Unknown
10388,6.19
1149,7.23
4783,4.87
4092,4.91
7039,Unknown
13015,6.61
13430,6.43
765,6.21
7315,7.51
10643,6.62
1485,6.5
3872,7.13
5662,6.18
15865,Unknown
4865,6.8
11146,6.41
2620,7.53
12637,6.99
10017,Unknown
6709,7.48
11820,Unknown
3026,5.46
12139,Unknown
4102,7.2
1298,7.09
17097,Unknown
5107,7.35
14204,6.08
6338,7.49
2022,5.7
11453,Unknown
12049,Unknown
7267,6.49
2685,7.39
17376,Unknown
11804,4.77
12269,7.19
1025,6.75
9750,5.76
911,7.43
7723,5.42
10296,Unknown
16089,Unknown
12704,Unknown
5768,5.78
6076,6.82
5716,6.95
9594,6.86
8892,6.54
1345,7.61
1444,7.08
3498,6.31
10577,6.42
3499,Unknown
15425,Unknown
12554,Unknown
15958,7.79
6206,6.53
13471,5.44
2422,Unknown
9684,7.63
2732,6.88
80,7.32
4217,5.19
4242,6.14
13190,Unknown
14456,Unknown
7816,Unknown
14914,5.21
1359,6.61
4739,Unknown
14306,8.84
8431,6.52
1572,6.48
5914,4.38
2162,6.86
879,7.23
1578,Unknown
17001,Unknown
1509,6.45
1896,7.98
15593,6.75
7326,Unknown
12402,5.71
4112,6.39
10679,5.33
12279,6.47
1845,8.12
7884,7.91
15129,5.52
14429,Unknown
9292,Unknown
4568,7.6
13926,6.52
8251,Unknown
4742,7.96
5199,6.6
9827,6.99
2605,7.93
16948,Unknown
11476,5.71
16488,Unknown
9820,5.06
5096,Unknown
5279,7.0
10392,4.95
3486,6.54
16038,7.16
13495,5.86
8729,Unknown
3614,6.13
16805,Unknown
2108,5.94
14912,Unknown
4309,6.65
9000,Unknown
17534,Unknown
14408,Unknown
5595,Unknown
4696,6.65
15562,Unknown
6032,7.42
5323,6.36
13868,6.78
8375,5.91
10057,Unknown
15018,Unknown
7510,7.04
8408,6.45
7247,8.15
16532,Unknown
10628,8.37
636,6.54
16238,Unknown
4325,7.31
3219,5.8
12453,6.54
6282,4.67
15131,7.46
10810,Unknown
10212,Unknown
1193,7.24
45,7.44
10214,7.94
976,5.36
12780,7.1
8358,6.92
5674,5.2
6786,6.07
7289,6.35
2963,7.12
5563,6.17
8845,Unknown
1584,5.28
13179,5.85
17106,Unknown
4515,6.47
16174,Unknown
6075,6.86
12213,Unknown
1975,6.9
3912,7.81
17201,Unknown
16664,Unknown
15080,5.01
4411,7.39
16254,Unknown
13620,Unknown
15989,Unknown
6889,7.17
12531,7.14
14754,Unknown
15406,Unknown
2840,6.24
12122,Unknown
13090,6.16
8298,7.44
16116,Unknown
6212,4.83
11155,6.4
7666,Unknown
12634,6.03
432,6.99
7708,6.64
12565,Unknown
7599,6.5
1832,7.55
12110,Unknown
16428,Unknown
15738,Unknown
9445,Unknown
460,7.45
4505,7.09
8935,7.48
37,5.91
15095,4.74
576,7.17
7732,5.98
6203,5.45
3988,5.28
12051,Unknown
12059,Unknown
10387,6.02
713,6.47
559,7.0
12105,Unknown
8494,6.76
5183,5.78
13957,7.32
2335,7.43
4899,6.52
7606,Unknown
4420,7.75
11847,7.68
5550,6.26
9624,Unknown
5069,6.45
12802,6.22
881,7.16
8657,4.63
10673,6.63
4900,6.07
9412,5.63
567,7.12
9758,5.14
7988,Unknown
2245,7.72
12581,4.83
8317,Unknown
4165,6.81
10417,7.25
10090,Unknown
12681,5.68
10898,7.27
239,8.75
11560,Unknown
13933,6.25
5687,5.77
13822,6.13
13126,Unknown
1597,6.48
12166,7.32
9520,Unknown
4490,8.0
6101,6.91
1901,5.67
7760,6.75
9787,Unknown
5888,6.58
1180,7.36
10186,Unknown
16994,Unknown
13838,4.38
